2020-12-13 17:12:558 INFO  HomePage :36 - Clicking on sign up link[[ChromeDriver: chrome on WINDOWS (dd4102793f712f1ec3f9c65f438b6066)] -> xpath: //body/div[@id='mm-0']/div[@id='page-wrapper']/div[@id='page']/div[@id='header-area']/div[1]/div[1]/div[2]/div[3]/button[1]/span[1]]
2020-12-13 17:12:269 INFO  HomePage :42 - Clicking on new Account tab[[ChromeDriver: chrome on WINDOWS (dd4102793f712f1ec3f9c65f438b6066)] -> xpath: //tbody/tr[4]/td[1]/a[1]]
2020-12-13 17:12:461 INFO  HomePage :49 - enter email address[[ChromeDriver: chrome on WINDOWS (dd4102793f712f1ec3f9c65f438b6066)] -> xpath: //input[@id='login']]
2020-12-13 17:12:998 INFO  HomePage :55 - enter password[[ChromeDriver: chrome on WINDOWS (dd4102793f712f1ec3f9c65f438b6066)] -> xpath: //input[@id='password']]
2020-12-13 17:12:255 INFO  HomePage :61 - enter confirm password[[ChromeDriver: chrome on WINDOWS (dd4102793f712f1ec3f9c65f438b6066)] -> xpath: //input[@id='password-conf']]
2020-12-13 17:12:634 INFO  HomePage :68 - clicking on create button[[ChromeDriver: chrome on WINDOWS (dd4102793f712f1ec3f9c65f438b6066)] -> xpath: //span[contains(text(),'Create')]]
2020-12-13 17:12:919 INFO  HomePage :38 - Clicking on sign up link[[ChromeDriver: chrome on WINDOWS (f1f361f2ccd399d19d8d32834a7ba626)] -> xpath: //body/div[@id='mm-0']/div[@id='page-wrapper']/div[@id='page']/div[@id='header-area']/div[1]/div[1]/div[2]/div[3]/button[1]/span[1]]
2020-12-13 17:12:657 INFO  HomePage :44 - Clicking on new Account tab[[ChromeDriver: chrome on WINDOWS (f1f361f2ccd399d19d8d32834a7ba626)] -> xpath: //tbody/tr[4]/td[1]/a[1]]
2020-12-13 17:12:630 INFO  HomePage :51 - enter email address[[ChromeDriver: chrome on WINDOWS (f1f361f2ccd399d19d8d32834a7ba626)] -> xpath: //input[@id='login']]
2020-12-13 17:12:03 INFO  HomePage :57 - enter password[[ChromeDriver: chrome on WINDOWS (f1f361f2ccd399d19d8d32834a7ba626)] -> xpath: //input[@id='password']]
2020-12-13 17:12:247 INFO  HomePage :63 - enter confirm password[[ChromeDriver: chrome on WINDOWS (f1f361f2ccd399d19d8d32834a7ba626)] -> xpath: //input[@id='password-conf']]
2020-12-13 17:12:405 INFO  HomePage :70 - clicking on create button[[ChromeDriver: chrome on WINDOWS (f1f361f2ccd399d19d8d32834a7ba626)] -> xpath: //span[contains(text(),'Create')]]
2020-12-13 17:12:657 INFO  HomePage :75 - "get text from account successfully"+_myAccountText.toString()
2020-12-13 17:12:799 INFO  HomePage :84 - Clicking on homePage tabProxy element for: DefaultElementLocator 'By.xpath: //h1[@id='page-title']'
2020-12-13 17:12:229 INFO  HomePage :84 - Clicking on homePage tabProxy element for: DefaultElementLocator 'By.xpath: //h1[@id='page-title']'
2020-12-13 17:12:544 INFO  HomePage :86 - Clicking on homePage tab[[ChromeDriver: chrome on WINDOWS (d255cbda4a86d76b89b4c39795912916)] -> xpath: //*[@id="header-area"]/div[1]/div/div[4]/div/ul/li[1]/a/span]
2020-12-13 17:12:240 INFO  HomePage :92 - get text from home page successfully[[ChromeDriver: chrome on WINDOWS (d255cbda4a86d76b89b4c39795912916)] -> xpath: //*[@id="content"]/div/div/div[2]/h1]
2020-12-13 18:12:371 INFO  HomePage :86 - Clicking on homePage tab[[ChromeDriver: chrome on WINDOWS (e8afef9e7455d9ba4d57951ef2f3d7a0)] -> xpath: //*[@id="header-area"]/div[1]/div/div[4]/div/ul/li[1]/a/span]
2020-12-13 18:12:700 INFO  HomePage :92 - get text from home page successfully[[ChromeDriver: chrome on WINDOWS (e8afef9e7455d9ba4d57951ef2f3d7a0)] -> xpath: //*[@id="content"]/div/div/div[2]/h1]
2020-12-13 18:12:804 INFO  HomePage :97 - Clicking on electronicButton[[ChromeDriver: chrome on WINDOWS (e8afef9e7455d9ba4d57951ef2f3d7a0)] -> xpath: //span[contains(text(),'Electronics')]]
2020-12-13 18:12:496 INFO  ElectronicPage :19 - Clicking on electronic button[[ChromeDriver: chrome on WINDOWS (e8afef9e7455d9ba4d57951ef2f3d7a0)] -> xpath: //h1[@id='page-title']]
2020-12-13 20:12:599 INFO  HomePage :105 - Clicking on new tab[[ChromeDriver: chrome on WINDOWS (dbd7565f322b95b00019c166d59f9841)] -> xpath: //*[@id="header-area"]/div[1]/div/div[4]/div/ul/li[4]/a/span]
2020-12-13 20:12:290 INFO  NewArrivalsPage :20 - Get text from new arraivals tab[[ChromeDriver: chrome on WINDOWS (dbd7565f322b95b00019c166d59f9841)] -> xpath: //h1[@id='page-title']]
2020-12-13 21:12:843 INFO  HomePage :105 - Clicking on new tab[[ChromeDriver: chrome on WINDOWS (8aad7e3d745a970fe6ca5820808911a0)] -> xpath: //*[@id="header-area"]/div[1]/div/div[4]/div/ul/li[4]/a/span]
2020-12-13 21:12:164 INFO  NewArrivalsPage :23 - Get text from new arraivals tab[[ChromeDriver: chrome on WINDOWS (8aad7e3d745a970fe6ca5820808911a0)] -> xpath: //h1[@id='page-title']]
2020-12-13 21:12:342 INFO  NewArrivalsPage :29 - Clicking on fitness tracker watchProxy element for: DefaultElementLocator 'By.xpath: //*[@id="content"]/div/div/div[3]/div/div/div[3]/ul/li[1]/div/div[2]/h4/a'
2020-12-13 21:12:889 INFO  HomePage :105 - Clicking on new tab[[ChromeDriver: chrome on WINDOWS (a9b8e849a1f2e3719cc50af846504a36)] -> xpath: //*[@id="header-area"]/div[1]/div/div[4]/div/ul/li[4]/a/span]
2020-12-13 21:12:164 INFO  NewArrivalsPage :23 - Get text from new arraivals tab[[ChromeDriver: chrome on WINDOWS (a9b8e849a1f2e3719cc50af846504a36)] -> xpath: //h1[@id='page-title']]
2020-12-13 21:12:434 INFO  NewArrivalsPage :29 - Clicking on fitness tracker watch[[ChromeDriver: chrome on WINDOWS (a9b8e849a1f2e3719cc50af846504a36)] -> xpath: //*[@id="content"]/div/div/div[3]/div/div/div[3]/ul/li[1]/div/div[1]/a/img]
2020-12-13 21:12:780 INFO  FitnessTrackerSmartWatchPage :19 - get text from fitness tracker smart watch[[ChromeDriver: chrome on WINDOWS (a9b8e849a1f2e3719cc50af846504a36)] -> xpath: //h1[contains(text(),'Fitness Tracker Smart Watch')]]
2020-12-13 21:12:225 INFO  HomePage :105 - Clicking on new tab[[ChromeDriver: chrome on WINDOWS (99b160ac290c7abedc0a105dcb6df7f5)] -> xpath: //*[@id="header-area"]/div[1]/div/div[4]/div/ul/li[4]/a/span]
2020-12-13 21:12:227 INFO  NewArrivalsPage :23 - Get text from new arraivals tab[[ChromeDriver: chrome on WINDOWS (99b160ac290c7abedc0a105dcb6df7f5)] -> xpath: //h1[@id='page-title']]
2020-12-13 21:12:312 INFO  NewArrivalsPage :29 - Clicking on fitness tracker watch[[ChromeDriver: chrome on WINDOWS (99b160ac290c7abedc0a105dcb6df7f5)] -> xpath: //*[@id="content"]/div/div/div[3]/div/div/div[3]/ul/li[1]/div/div[1]/a/img]
2020-12-13 21:12:875 INFO  FitnessTrackerSmartWatchPage :19 - get text from fitness tracker smart watch[[ChromeDriver: chrome on WINDOWS (99b160ac290c7abedc0a105dcb6df7f5)] -> xpath: //h1[contains(text(),'Fitness Tracker Smart Watch')]]
